ID,ST_SMILES
936,"OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
"
939,"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
"
941,"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
"
953,"CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
"
957,"COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
"
967,"CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
"
968,"CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
"
969,"O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
"
970,"O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
"
981,"CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
"
982,"C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
"
990,"CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
"
996,"CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21
"
997,"CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
"
1000,"O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
"
1008,"CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
"
1013,"N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1
"
1023,"C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
"
1027,"Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
"
1040,"C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
"
1050,"O=C(O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
"
1051,"CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
"
1056,"CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccc(O)cc2)cc1
"
1085,"CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2
"
1088,"CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21
"
1108,"O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
"
1109,"Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
"
1111,"COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
"
1112,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
"
1117,"CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
"
1131,"COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
"
1146,"Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1
"
1163,"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
"
1166,"CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
"
1167,"CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
"
1201,"CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
"
1206,"CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
"
