minimizedAffinity,ID,smiles
-5.99714,1050,O=C(O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
-6.25065,1051,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
-6.57180,1056,CC[NH+](CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccc(O)cc2)cc1
-6.80622,1085,CC(=O)c1ccc2c(c1)N(CCC[NH+]1CC[NH+](CCO)CC1)c1ccccc1S2
-5.14902,1108,O=C(CCC[N@H+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
-5.77093,1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
-6.98775,1111,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
-4.89144,1112,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
-8.67505,1117,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H]([NH3+])[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
-7.58720,1131,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
-8.32985,1146,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1
-9.05174,1163,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
-7.13478,1166,C[C@@H]1CCN(C(=O)[C@H](CCCNC(N)=[NH2+])NS(=O)(=O)c2cccc3c2NC[C@H](C)C3)[C@@H](C(=O)O)C1
-4.73556,1167,C[NH2+][C@@H]1[C@H](O)[C@H]([NH2+]C)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
-6.49528,1201,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C\CC[NH+]1CC[NH+](C)CC1)c1ccccc1S2
-5.39667,1206,CC[NH+](CC)[C@@H](C)CN1c2ccccc2Sc2ccccc21
-5.96819,1221,Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
-7.76420,1224,Cc1ccc(/C(=C\C[NH+]2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1
-6.81308,1228,CCCC[C@@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
-5.29916,1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H]([NH3+])C1
-7.35266,1230,Nc1ccn([C@@H]2CS[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)n1
-6.79005,1231,CC[NH+](CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1
-6.23761,1237,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
-6.13969,1259,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
