minimizedAffinity,ID,SMILES
-6.80886,811,C[NH+](C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1
-5.5454,814,COCCCC/C(=N\OCC[NH3+])c1ccc(C(F)(F)F)cc1
-5.72835,826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21
-6.19583,836,CCOc1ccccc1OCC[NH2+][C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
-6.32874,850,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)[NH2+]1
-6.55686,880,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
-6.82283,892,COc1ccc2[nH]c(SCc3ncc(C)c(OC)c3C)[nH+]c2c1
-6.2454,895,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)[N@@H+](CC2CCC2)CC[C@]314
-6.87715,896,OCCOCC[NH+]1CC[NH+]([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1
-4.79893,902,NC(N)=[NH+]c1nc(CSCC/C(N)=[NH+]/S(N)(=O)=O)cs1
-6.63913,908,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
-6.70465,911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
-7.06607,914,CC(C)(C(=O)O)c1ccc([C@@H](O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
-6.04239,916,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CC[NH2+]CC2)cc1)C(=O)O
-7.50359,922,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
-6.04304,927,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
-6.063,932,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
-6.24093,936,OC(CCC[NH+]1CCCCC1)(c1ccccc1)c1ccccc1
-8.46168,939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1
-8.95683,941,Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
-7.03406,953,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
-9.24263,957,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
-6.34664,967,CN1C(=O)[C@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21
-6.57453,968,CC[NH+](CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
-6.89163,969,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
-6.47958,970,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
-6.42928,981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
-5.46694,982,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[N@H+]3CC2CC2)[C@H]1O5
-6.91394,990,C[N@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
-7.07202,996,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21
-5.41957,997,CCCCC[N@H+](C)CCC(O)(P(=O)(O)O)P(=O)(O)O
-7.35768,1000,O=C(O)COCC[NH+]1CC[NH+]([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
-6.6602,1008,CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1
-6.38341,1013,[NH3+][C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1
-7.2486,1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
-6.09394,1027,Cc1ccsc1C(=CCC[N@@H+]1CCC[C@@H](C(=O)O)C1)c1sccc1C
-7.04713,1040,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
-7.87203,1050,O=C(O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
-6.09321,1051,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
-7.82584,1056,CC[NH+](CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccc(O)cc2)cc1
-7.41538,1085,CC(=O)c1ccc2c(c1)N(CCC[NH+]1CC[NH+](CCO)CC1)c1ccccc1S2
-8.30048,1108,O=C(CCC[N@@H+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
-6.36149,1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
-6.87845,1111,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
-4.81774,1112,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
-7.70475,1117,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H]([NH3+])[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
-7.44881,1131,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
-7.24252,1146,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1
-8.14451,1163,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
-6.66543,1166,C[C@@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
-5.05622,1167,C[NH2+][C@@H]1[C@H](O)[C@H]([NH2+]C)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
-6.60175,1201,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C\CC[NH+]1CC[NH+](C)CC1)c1ccccc1S2
-5.29453,1206,CC[NH+](CC)[C@H](C)CN1c2ccccc2Sc2ccccc21
-7.01162,1221,Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
-8.33393,1224,Cc1ccc(/C(=C\C[NH+]2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1
-7.67367,1228,CCCC[C@@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
-5.26807,1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H]([NH3+])C1
-6.95173,1230,Nc1ccn([C@@H]2CS[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)n1
-7.91825,1231,CC[NH+](CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1
-6.19392,1237,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
-6.02548,1259,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
-8.38797,1265,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
-7.1235,1267,C[C@@H](O)c1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1
-6.05761,1274,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
-6.27377,1278,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1
-5.35392,1289,Clc1cc(Cl)c(OCC#CI)cc1Cl
-7.69711,1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
-7.39822,1296,C[NH+](C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
-7.50893,1303,CCC[N@@H+](CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
-9.68963,1323,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
-9.58209,1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
-6.19107,1337,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
-6.41189,1346,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@H+](CCc2ccc3c(c2)CCO3)C1
-7.09069,1349,CC(C)[C@H]([NH3+])C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21
-5.96016,1350,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
-7.81381,1372,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
-6.53787,1378,CCSc1ccc2c(c1)N(CCC[NH+]1CC[NH+](C)CC1)c1ccccc1S2
-6.49548,1382,Cc1ccc(O)c([C@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)c1
-6.88901,1393,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
-6.91605,1397,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
-6.27789,1410,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
-8.33803,1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1
-7.4632,1423,O=c1[nH]c2ccccc2n1C1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
-6.77695,1428,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc([N+](=O)[O-])c1
-6.17306,1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C(=O)[C@@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@@H]1C2=O
-7.8409,1435,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
-7.15873,1436,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1
-7.54042,1456,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCC[NH+]1CCOCC1)C(=O)OC2
-7.43959,1464,CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O
-7.55643,1466,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
-5.12336,1480,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl
-5.66575,1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[N@H+](C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1
-5.85723,1490,O[C@@](CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1
-5.99979,1491,CCOC(=O)C1=C(COCC[NH3+])NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl
-6.09744,1493,Cc1c(-c2ccccc2)oc2c(C(=O)OCC[NH+]3CCCCC3)cccc2c1=O
-6.32014,1499,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
-5.70474,1504,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
-6.24565,1505,C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
-6.23026,1508,C[NH+](C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
